選手名,登録番号,卒業期,地区,ホームバンク,府県,脚質,生年月日,縁故選手,友人,練習仲間,練習グループ,師匠,弟子,好きな周長,好きな車番,好きな食べ物,嫌いな食べ物
鈴木　裕,14239,92期,南関東,千葉,千葉県,両,1984/12/9,-,三宅　伸（岡　山・64期）,-,-,酢崎　良雄（千　葉・53期）,-,-,1,肉,-
鈴木　陸来,15441,117期,南関東,静岡,静岡県,逃,1996/10/26,-,-,新田　康仁（静　岡・74期）、内山　雅貴（静　岡・113期）、當銘　直美（愛　知・114期）、清水　彩那（静　岡・116期）、當銘沙恵美（愛　知・118期）,-,新田　康仁（静　岡・74期）,-,400m,7,コストコの牛タンブロック,ガリガリくんナポリタン味
鈴木　竜士,15037,107期,関東,京王閣,東京都,両,1994/1/18,-,-,-,-,戸邉　裕将（茨　城・72期）,-,-,１・２,-,-
鈴木　涼介,15332,115期,北日本,-,福島県,逃,1997/7/16,鈴木樹里(116期),岩谷　拓磨（福　岡・115期）、田上　晃也（岡　山・115期）、浅見　隼（福　岡・115期）,相笠　翔太（福　島・96期）、佐々木堅次（福　島・113期）,-,相笠　翔太（福　島・96期）,-,400m,-,ラーメン,なし
須藤　悟,14740,99期,南関東,千葉,千葉県,追,1989/7/27,須藤 誠(兄92期)須藤 稚明(妻102期),-,須藤　誠（千　葉・92期）,-,利根川　勇（千　葉・32期）,-,-,１・２・３,クレープ、Bill'sパンケーキ,-
須永　優太,14358,94期,北日本,いわき平,福島県,追,1988/6/11,須永 勝太(弟98期)吉田 雄二(叔父64期・引退),大島　将人（福　島・94期）、真船圭一郎（福　島・94期）、関根　彰人（沖　縄・94期）,小谷田公則（福　島・88期）、邊見　斎（福　島・92期）、金澤　幸司（福　島・91期）、金澤　竜二（福　島・91期）、関根　彰人（沖　縄・94期）、須永　勝太（福　島・98期）、星野　洋輝（福　島・115期）、窪木　一茂（福　島・119期）、邊見　光輝（福　島・119期）、角田　光（福　島・125期）,ＮＢＣ,木野内　高（福　島・53期）,星野　洋輝（福　島・115期）、窪木　一茂（福　島・119期）、角田　光（福　島・125期）,400m,９・１,オムライス,あんこ
角　令央奈,14677,98期,九州,久留米,福岡県,両,1987/4/20,-,志村　龍己（山　梨・98期）,-,-,-,-,333m,４､６､８以外,すき焼き、すし,フルーツ全般
隅田　洋介,15040,107期,中国,玉野,岡山県,両,1987/8/21,-,-,-,-,-,-,-,１・２・３,-,-
関　貴之,14286,93期,関東,取手,茨城県,追,1983/5/30,-,-,堀　政美（茨　城・65期）,-,関　一浩（茨　城・81期）,-,-,1,焼肉・旬の食べ物,-
瀬戸　栄作,15130,109期,九州,佐世保,長崎県,両,1993/6/8,瀬戸 晋作(兄107期),-,足達　重満（長　崎・80期）、瀬戸　晋作（長　崎・107期）、佐藤　幸治（長　崎・92期）、白濱　一平（長　崎・111期）、山口　龍也（長　崎・111期）、阪本　和也（長　崎・115期）、松本　昂大（長　崎・125期）,-,足達　重満（長　崎・80期）,松本　昂大（長　崎・125期）,-,3,オムライス,アボカド
瀬戸　晋作,15067,107期,九州,佐世保,長崎県,両,1993/6/8,-,-,-,長崎選手会,佐藤　幸治（長　崎・92期）,-,-,1,焼き肉、魚,無し
外田　心斗,15380,115期,四国,松山,愛媛県,逃,1998/7/18,-,松尾　勇吾（熊　本・115期）、寺沼　拓摩（東　京・115期）、杉浦　侑吾（栃　木・115期）、谷　和也（大　阪・115期）、池川　瑠威（広　島・115期）、今野　有樹（愛　媛・115期）、下野　義城（愛　媛・115期）,-,-,日野　博幸（愛　媛・103期）,-,400m,１・９,寿司、魚,-
園田　匠,13894,87期,九州,小倉,福岡県,追,1981/9/22,-,-,小川　勇介（福　岡・90期）、永田　隼一（福　岡・95期）、松尾信太郎（福　岡・92期）、嶋田　誠也（福　岡・109期）、市橋司優人（福　岡・103期）、岩谷　拓磨（福　岡・115期）,不動會,吉岡　稔真（福　岡・65期）,松尾信太郎（福　岡・92期）,-,2,肉、コーラ,野菜
染谷　幸喜,15168,111期,南関東,松戸,千葉県,逃,1988/8/18,-,高橋　幸司（沖　縄・99期）、下岡　優季（愛　知・105期）、内田　淳（千　葉・111期）、小林裕一朗（千　葉・111期）、野口　裕史（千　葉・111期）,山中　秀将（千　葉・95期）、鈴木　浩太（千　葉・119期）、坪内　恒（千　葉・123期）、鳥海　創（千　葉・123期）、山田　駿斗（千　葉・123期）、山下　祐輔（千　葉・125期）、伊澤　茉那（千　葉・126期）,-,山中　秀将（千　葉・95期）,鳥海　創（千　葉・123期）、山田　駿斗（千　葉・123期）,500m,-,クレープ,パクチー
田尾　駿介,15199,111期,四国,高知,高知県,追,1992/3/10,-,門田　凌（愛　媛・111期）、山崎　賢人（長　崎・111期）、平尾　一晃（長　崎・111期）,篠原　龍馬（高　知・89期）、今村麟太郎（高　知・111期）,-,篠原　龍馬（高　知・89期）,-,500m,9,ラーメン・うどん,ゴーヤ
高木　和仁,13070,76期,九州,久留米,福岡県,追,1974/7/22,高木 磯文(伯父期前・引退)工藤 元司郎(義父16期・引退)高木 萌那(子126期),-,-,-,野口　泰則（福　岡・52期）,-,-,-,肉・ワイン,-
高久保　雄介,14833,100期,近畿,向日町,京都府,両,1987/1/15,-,-,-,-,松村　順之（京　都・71期）,-,-,-,-,-
高塩　讓次,14059,90期,関東,宇都宮,栃木県,追,1983/9/6,-,中川　貴徳（栃　木・91期）、塚本　和宏（栃　木・90期）,-,-,瀧深　一彦（栃　木・40期）,-,-,4,焼肉、ラーメン、蕎麦,無し
高田　修汰,15361,115期,近畿,福井,福井県,逃,1999/10/4,-,阿部架惟都（宮　城・115期）、山本　修平（東　京・115期）,-,-,北川　浩一（福　井・59期）,-,400m,2,担々麺,貝類全般
高津　晃治,13883,87期,中国,玉野,岡山県,追,1979/7/19,-,-,丹波　靖貴（岡　山・74期）、大田　啓介（岡　山・73期）、三宅　旬（岡　山・80期）、坂本　智哉（岡　山・82期）、榊原　洋（岡　山・85期）,-,丹波　秀次（岡　山・23期）,-,500m,3,鍋物・ハム・ケンタッキー,こんにゃく・高野豆腐・コロッケ
高橋　和也,14168,91期,中部,名古屋,愛知県,両,1986/6/27,-,-,-,-,高橋　美行（愛　知・33期）,-,-,4,うどん･焼肉,-
高橋　築,15090,109期,関東,京王閣,東京都,両,1992/5/8,-,-,高橋　大作（東　京・83期）、鈴木雄一朗（東　京・94期）,-,鈴木雄一朗（東　京・94期）,-,-,2,ラーメン,特になし
高橋　舜,15784,125期,北日本,-,宮城県,逃,2001/3/23,-,中島　淳（埼　玉・125期）、南部　翔大（大　阪・125期）、角　宗哉（山　口・125期）,櫻井　正孝（宮　城・100期）、菅野　航基（宮　城・119期）、菊地　圭（宮　城・123期）、斉藤　樂（宮　城・123期）、福田　健太（宮　城・125期）,-,櫻井　正孝（宮　城・100期）,-,333m,1,カレー,レバー
高橋　晋也,15333,115期,北日本,いわき平,福島県,逃,1994/10/4,-,-,飯野　祐太（福　島・90期）、渡邉　一成（福　島・88期）、山田　祐太（福　島・113期）、前川　大輔（福　島・113期）、板垣　昴（北海道・115期）、宇佐見優介（福　島・115期）,-,飯野　祐太（福　島・90期）,-,400m,7,すし、シュークリーム,スイカ、バナナ
高橋　雅之,14082,90期,南関東,松戸,千葉県,追,1982/7/27,-,坂本　亮馬（福　岡・90期）、伊藤　成紀（大　阪・90期）,-,-,-,-,-,3,寿司,-
高原　仁志,13741,85期,四国,小松島,徳島県,追,1980/9/21,高原 克義(父30期・引退),-,-,徳島選手会,堀江弥三郎（徳　島・48期）,-,-,１・４,焼肉・寿司,-
田口　勇介,15510,119期,北日本,-,秋田県,逃,2000/6/19,-,菅野　航基（宮　城・119期）、林　昌幸（愛　媛・119期）、阿部　龍也（山　口・119期）、疋田　力也（愛　知・119期）、志田　龍星（岐　阜・119期）、中島　詩音（山　梨・119期）、堀江　省吾（長　野・119期）,佐藤　朋也（秋　田・89期）,-,佐藤　朋也（秋　田・89期）,-,-,2,馬刺し,レバー
竹内　翼,15120,109期,中国,広島,広島県,逃,1991/5/20,-,樋口　瑛土（東　京・109期）、小出　慎也（和歌山・109期）,吉本　哲郎（広　島・84期）、木村　幸希（広　島・109期）、船瀬　惇平（広　島・111期）、増田　仁（広　島・113期）、町田　太我（広　島・117期）、白井優太朗（広　島・119期）、西田　優大（広　島・123期）、黒瀬浩太郎（広　島・123期）、藤高　千恵（広　島・124期）,吉本グループ,吉本　哲郎（広　島・84期）,-,500m,9,牡蠣、酒,-
竹内　智彦,13619,84期,北日本,-,宮城県,追,1977/4/29,-,-,-,-,武藤　高夫（群　馬・42期）,-,-,-,-,-
竹内　雄作,14752,99期,中部,大垣,岐阜県,逃,1987/9/29,-,-,山口　富生（岐　阜・68期）、松岡　篤哉（岐　阜・97期）、向井裕紀弘（岐　阜・98期）、山口　聖矢（岐　阜・115期）、山口　拳矢（岐　阜・117期）,北陽グループ,山口　富生（岐　阜・68期）,-,-,３・７,焼肉・ごはん,-
武田　豊樹,13923,88期,関東,取手,茨城県,追,1974/1/9,-,-,-,川村道場,川村　恵三（茨　城・20期）,今井　裕介（茨　城・93期）、牛山　貴広（茨　城・92期）、小原　唯志（茨　城・101期）、吉澤　純平（茨　城・101期）,-,1,-,-
武田　亮,15347,115期,関東,立川,東京都,逃,1999/5/13,-,-,山崎　充央（東　京・79期）、山本　勝利（東　京・117期）、水森　湧太（東　京・117期）、高橋　築（東　京・109期）、山本恵太郎（東　京・71期）、松本　詩乃（東　京・122期）、星野　しほ（東　京・124期）,大宮道場,山崎　充央（東　京・79期）,-,400m,７・９,ラーメン、餃子,アボカド
竹村　勇祐,14500,96期,北日本,-,秋田県,追,1990/2/21,-,-,内藤　宣彦（秋　田・67期）、坂本　毅（岩　手・77期）、佐々木弘美（秋　田・69期）,-,高橋　慶勝（秋　田・53期）,-,-,7,スパゲッティ,キノコ
竹元　健竜,15382,115期,九州,久留米,福岡県,両,1997/8/25,竹元 太志,張野　幸聖（和歌山・115期）、星野　洋輝（福　島・115期）、伊藤　颯馬（沖　縄・115期）、柴田　了（福　岡・64期）,原井　博斗（福　岡・115期）、島村　匠（福　岡・111期）、中村　翔平（福　岡・117期）、上野　恭哉（福　岡・119期）、川野　深（福　岡・119期）、梶原　大地（福　岡・119期）、橋本　陸（福　岡・121期）、梶原　海斗（福　岡・123期）、堀川敬太郎（福　岡・123期）、神開　一輝（福　岡・119期）,-,藤田　剣次（福　岡・85期）,-,400m,5,家庭的な料理、肉､カレー,ピーマン､シナモン、ほしぶどう
竹山　陵太,14130,91期,北日本,-,宮城県,追,1985/5/15,竹山 慶太(弟105期),-,-,-,渡邉　幹男（宮　城・51期）,-,-,3,ビール,-
舘　泰守,13330,80期,中部,名古屋,愛知県,追,1976/2/4,-,北野　良栄（茨　城・95期）、桑原　大志（山　口・80期）,大谷　靖茂（愛　知・93期）、外山　三平（愛　知・88期）、當銘　直美（愛　知・114期）,-,釜田　和明（愛　知・52期）,-,-,7,小豆,-
太刀川　一成,14819,100期,南関東,千葉,千葉県,追,1980/7/21,-,松丸　裕紀（福　岡・86期）、伊勢崎彰大（千　葉・81期）,吉澤　賢（千　葉・94期）、近藤　保（千　葉・95期）、武井　大介（千　葉・86期）、藤田　大輔（千　葉・91期）、野口　裕史（千　葉・111期）,利根川ｸﾞﾙｰﾌﾟ､K･W･A、松虫,利根川　勇（千　葉・32期）,-,400m,2,焼き肉、イタリアン,しいたけ、まずい食物
立花　昌也,15687,123期,北日本,-,青森県,逃,1999/4/3,-,高橋　海月（青　森・123期）、小笠原一真（青　森・123期）,高橋　海月（青　森・123期）、小笠原一真（青　森・123期）、嵯峨昇喜郎（青　森・113期）、小原丈一郎（青　森・115期）、日当　泰之（青　森・92期）、大川　剛（青　森・121期）,-,日当　泰之（青　森・92期）,-,333m,1,オムライス、ピザ、ラーメン,人参
立部　楓真,15385,115期,九州,武雄,佐賀県,逃,1998/7/17,-,阪本　和也（長　崎・115期）、小柳　智徳（長　崎・123期）,古川　貴之（佐　賀・93期）、青柳　靖起（佐　賀・117期）,-,古川　貴之（佐　賀・93期）,-,400m,１・２,焼肉､トマト,生魚
田中　大我,15363,115期,近畿,奈良,奈良県,逃,1998/10/28,-,-,三谷　将太（奈　良・92期）、三谷　竜生（奈　良・101期）,-,肥後　勇志（奈　良・77期）,-,333m,-,お肉、お魚,みどりの野菜、ポン酢、しょうが
田中　晴基,14081,90期,南関東,松戸,千葉県,追,1986/2/21,-,高塩　讓次（栃　木・90期）,-,松戸バンクグループ,利根川　勇（千　葉・32期）,-,-,1,母のチーズケーキ,脂っこい物
田中　誠,14041,89期,九州,久留米,福岡県,追,1983/8/7,-,中園　和剛（福　岡・89期）、橋本　強（愛　媛・89期）、栗林　巧（青　森・89期）、伊藤　大彦（徳　島・89期）,-,-,池尻　浩一（福　岡・63期）,-,-,3,瓦そば、肉,しいたけ、トマト
田中　勇二,14485,95期,中国,玉野,岡山県,追,1987/12/23,-,-,近藤　修康（岡　山・67期）、近藤　範昌（岡　山・82期）、友定　祐己（岡　山・82期）、在本　直樹（岡　山・93期）、高井　流星（岡　山・113期）、田上　晃也（岡　山・115期）、小川　巧（岡　山・57期）、大槇　大介（岡　山・119期）,近藤グループ,三村　学（岡　山・73期）,田上　晃也（岡　山・115期）,-,1,ギョーザ,しいたけ
田中　陽平,14633,97期,九州,熊本,熊本県,追,1990/3/13,-,吉成　貴博（熊　本・97期）、利根　正明（大　分・97期）、柿澤　大貴（長　野・97期）、岡崎　祥伍（岐　阜・97期）、上田　隼（岐　阜・97期）,島田　竜二（熊　本・76期）、橋本　佳耶（熊　本・114期）,事なかれ主義,中村　雅仁（熊　本・90期）,-,333m,2,ラーメン・焼き肉,甲殻類
棚瀬　義大,15718,123期,中部,岐阜,岐阜県,逃,1999/11/20,-,枝村　弘樹（宮　崎・123期）,川口公太朗（岐　阜・98期）,-,川口公太朗（岐　阜・98期）,-,400m,１・２・９,-,-
棚橋　勉,14548,96期,中国,玉野,岡山県,追,1981/1/5,-,-,-,-,守谷　陽介（岡　山・87期）,-,-,-,-,-
谷　和也,15369,115期,近畿,-,大阪府,逃,1999/3/28,-,土田　武志（茨　城・115期）、武田　亮（東　京・115期）、原田　亮太（千　葉・115期）、杉浦　侑吾（栃　木・115期）、池川　瑠威（広　島・115期）、外田　心斗（愛　媛・115期）、松尾　勇吾（熊　本・115期）,中武三四郎（大　阪・113期）、福永　大智（大　阪・113期）、中釜　章成（大　阪・113期）、井坂　泰誓（大　阪・115期）、仲野　結音（大　阪・117期）,-,佛田　一夫（大　阪・81期）,-,400m,１・４・７,寿司・フルーツ・コーヒー,味の濃いもの
谷口　力也,15569,119期,九州,熊本,熊本県,逃,1997/9/2,谷口城明（57期）,中島　詩音（山　梨・119期）、桑名　僚也（埼　玉・119期）、田川　翔琉（熊　本・119期）、阿部　龍也（山　口・119期）、田村　大（宮　崎・119期）、林　昴（福　岡・119期）、小池　千啓（栃　木・119期）、大高　彰馬（福　島・119期）、神開　一輝（福　岡・119期）,中村　健志（熊　本・96期）、中村　圭志（熊　本・86期）、中山敬太郎（熊　本・100期）、永田　修一（熊　本・90期）、園田　鉄兵（熊　本・93期）、興呂木雄治（熊　本・96期）、田仲　敦子（熊　本・104期）,Ｇ－ＴＯＲＡ,中村　健志（熊　本・96期）,-,-,３・５・７,焼肉,-
谷口　遼平,14940,103期,中部,四日市,三重県,逃,1994/2/3,-,川口　聖二（岐　阜・103期）、小酒　大勇（宮　崎・103期）、田中　誇士（静　岡・103期）、永田　秀佑（長　崎・103期）、野原　雅也（福　井・103期）,伊藤　裕貴（三　重・100期）,北勢グループ,佐久間幸人（三　重・51期）,弓矢輪太郎（三　重・125期）,400m,１・３,野菜,マッシュルーム
谷田　泰平,14307,93期,中部,大垣,岐阜県,追,1977/3/8,-,守安　政雄（岡　山・94期）、渡邉　孝光（静　岡・99期）,-,大垣競輪場グループ,水谷　雅樹（岐　阜・71期）,小浦　凪（岐　阜・117期）,-,3,カレー,無し
田村　大,15572,119期,九州,-,宮崎県,逃,1998/4/21,-,米嶋　恵介（岡　山・119期）、谷口　力也（熊　本・119期）、志田　龍星（岐　阜・119期）、田川　翔琉（熊　本・119期）、大高　彰馬（福　島・119期）、梅田加津也（神奈川・119期）、上遠野拓馬（宮　城・119期）、川野　深（福　岡・119期）、橋本　凌汰（岡　山・119期）,四元　慎也（宮　崎・77期）、久島　尚樹（宮　崎・100期）、那須　萌美（宮　崎・114期）、松本　一志（宮　崎・117期）、福田　要（宮　崎・121期）,-,四元　慎也（宮　崎・77期）,-,400m,１・２・３・９,肉、ピザ、鰻,なす
塚本　大樹,14564,96期,九州,熊本,熊本県,追,1988/10/8,塚本 光男(祖父・期前・引退)塚本 英美(父・36期・引退)塚本 一之(親戚・52期・引退)塚本 耕一郎(親戚・51期・引退)塚本 裕之(親戚・51期・引退)塚本 成己(親戚・58期・引退)渡 徳行(伯父・33期),-,東矢　昇太（熊　本・98期）、伊藤　拓人（静　岡・94期）、宮腰　圭祐（福　井・96期）、本郷　雄三（熊　本・99期）、鷲田　幸司（福　井・92期）,-,塚本　英美（熊　本・36期）,-,400m,２・８,"肉,寿司,ﾌｫｱｸﾞﾗ,ﾄﾘｭﾌ,Curry","なすび,トマト,冷えきったごはん"
月森　亮輔,14879,101期,中国,玉野,岡山県,両,1992/1/14,月森 光彦(父54期・引退),-,柳谷　崇（岡　山・87期）,玉野競輪場グループ,柳谷　崇（岡　山・87期）,-,-,-,塩タン,しいたけ
土屋　壮登,14864,101期,関東,大宮,埼玉県,追,1987/4/2,-,-,-,-,片折　亮太（埼　玉・92期）,-,400m,6,肉、魚、酒,-
土屋　裕二,13420,81期,南関東,伊東,静岡県,追,1976/3/11,-,中石　昌芳（広　島・81期）,海野　晃（静　岡・58期）、深瀬　泰我（静　岡・119期）、柏木　伸介（静　岡・84期）、菅原　裕太（静　岡・100期）,伊東・沼津地区,海野　晃（静　岡・58期）,-,-,1,麺類・チョコレート,セロリ・ししとう
筒井　敦史,13737,85期,中国,玉野,岡山県,追,1976/6/6,-,榊原　洋（岡　山・85期）、井上　剛（岡　山・85期）、東口　善朋（和歌山・85期）,守安　政雄（岡　山・94期）、工藤　文彦（沖　縄・97期）、高橋清太郎（岡　山・97期）、岩本　純（岡　山・94期）、米嶋　恵介（岡　山・119期）、宮安　利紗（岡　山・106期）、猪頭香緒里（岡　山・104期）,-,本田　晴美（岡　山・51期）,守安　政雄（岡　山・94期）、紀井　孝之（岡　山・96期）、工藤　文彦（沖　縄・97期）、高橋清太郎（岡　山・97期）,500m,１・４,ラーメン,セロリ
堤　洋,12987,75期,四国,小松島,徳島県,追,1975/12/24,-,-,近藤　直幹（徳　島・75期）、米澤　大輔（徳　島・73期）、小磯　知也（徳　島・76期）、小倉　竜二（徳　島・77期）、木村　勉（徳　島・79期）,-,武市　和明（徳　島・43期）,-,-,1,ラーメン・スパゲティー,漬け物・トマト
津村　洸次郎,14889,101期,九州,久留米,福岡県,両,1991/5/31,-,-,田中　誠（福　岡・89期）、坂本　亮馬（福　岡・90期）,-,藤田　剣次（福　岡・85期）,-,-,2,カレー・肉・すし,芽キャベツ
寺崎　浩平,15413,117期,近畿,福井,福井県,逃,1994/1/4,-,-,-,-,鷲田　佳史（福　井・88期）,-,400m,7,パスタ,マヨネーズ
寺沼　拓摩,15349,115期,関東,京王閣,東京都,両,1999/1/28,寺沼 将彦（111期・兄）、寺沼 伊織（115期・兄）,池川　瑠威（広　島・115期）、外田　心斗（愛　媛・115期）、小畑　勝広（茨　城・115期）、立部　楓真（佐　賀・115期）,田谷　勇（東　京・54期）、中村由香里（東　京・102期）、寺沼　将彦（東　京・111期）、清水　健次（東　京・113期）、今井　聡（東　京・113期）、寺沼　伊織（東　京・115期）、鈴木　薫（東　京・115期）,田谷道場,田谷　勇（東　京・54期）,-,-,-,牛タン,-
照井　拓成,15326,115期,北日本,-,岩手県,逃,1996/1/8,-,坂井　洋（栃　木・115期）、幸田　望夢（栃　木・115期）、福田　滉（栃　木・115期）、松尾　勇吾（熊　本・115期）、宮崎　大空（熊　本・115期）,-,-,佐藤　博紀（岩　手・96期）,-,400m,２・３,焼肉,なし
出澤　拓也,15171,111期,南関東,川崎,神奈川県,追,1991/2/24,-,吉田　智哉（愛　媛・111期）、小林裕一朗（千　葉・111期）、久保田泰弘（山　口・111期）,-,-,三住　博昭（神奈川・61期）,-,-,-,-,-
東矢　圭吾,15661,121期,九州,熊本,熊本県,逃,1998/10/21,東矢 昇太,田川　翔琉（熊　本・119期）、荒川　仁（千　葉・121期）、岸田　剛（福　井・121期）、末廣　快理（兵　庫・121期）、安彦　統賀（埼　玉・121期）,東矢　昇太（熊　本・98期）,-,東矢　昇太（熊　本・98期）,-,400m,１・５・９,チョコレート、海老,キノコ類
東矢　昇太,14691,98期,九州,熊本,熊本県,追,1986/6/22,-,角　令央奈（福　岡・98期）、増原　正人（広　島・98期）、志村　龍己（山　梨・98期）、井上　将志（福　岡・98期）,森山　智徳（熊　本・98期）、徳永　哲人（熊　本・100期）、松岡　貴久（熊　本・90期）、中本　匠栄（熊　本・97期）、上野　優太（熊　本・113期）、嘉永　泰斗（熊　本・113期）、倉岡慎太郎（熊　本・59期）、本郷　雄三（熊　本・99期）、兼本　将太（熊　本・117期）、大窪　輝之（熊　本・72期）,甲佐周辺,西島　聡一（熊　本・56期）,西島　叶子（熊　本・118期）,-,１・２,和食・スシ,辛いもの・油っこいもの
徳田　匠,15540,119期,近畿,向日町,京都府,逃,1997/4/22,-,-,-,-,畑段　嵐士（京　都・105期）,-,400m,-,ギョウザ,パクチー
徳永　哲人,14852,100期,九州,熊本,熊本県,両,1982/6/7,-,楠木孝志郎（熊　本・96期）、馬場　勇（熊　本・92期）,倉岡慎太郎（熊　本・59期）、大窪　輝之（熊　本・72期）、中本　匠栄（熊　本・97期）、森山　智徳（熊　本・98期）、東矢　昇太（熊　本・98期）、本郷　雄三（熊　本・99期）、寺崎　祐樹（熊　本・97期）、上野　優太（熊　本・113期）、兼本　将太（熊　本・117期）、嘉永　泰斗（熊　本・113期）,甲佐グループ,仲山　桂（熊　本・66期）,-,-,1,焼き肉、フルーツ,サーモン
戸田　洋平,14259,92期,中国,玉野,岡山県,追,1983/4/17,-,伊藤　信（大　阪・92期）、佐藤　佑一（岩　手・92期）、片山　智晴（岡　山・92期）,河端　朋之（岡　山・95期）、黒田　淳（岡　山・97期）,安田グループ,本田　晴美（岡　山・51期）,-,-,5,コロッケ,-
取鳥　雄吾,15061,107期,中国,玉野,岡山県,逃,1995/1/17,取鳥 敬一(父69期),-,-,-,取鳥　敬一（岡　山・69期）,-,-,２・９,焼き肉,ピーマン
友定　祐己,13495,82期,中国,玉野,岡山県,追,1978/12/22,-,矢部　和彦（三　重・82期）、春日　勇人（千　葉・82期）,近藤　修康（岡　山・67期）、近藤　範昌（岡　山・82期）、在本　直樹（岡　山・93期）、田中　勇二（岡　山・95期）、高井　流星（岡　山・113期）、田上　晃也（岡　山・115期）,近藤グループ,近藤　博信（岡　山・41期）,大槇　大介（岡　山・119期）,-,-,魚・野菜,-
内藤　高裕,14511,96期,関東,西武園,東京都,追,1988/6/23,-,-,-,西武園クラブ,飯田　義広（東　京・44期）,-,-,4,焼き肉,-
内藤　宣彦,12339,67期,北日本,-,秋田県,追,1971/3/2,-,-,宮倉　勇（千　葉・58期）、成清　貴之（千　葉・73期）、中曽　直彦（千　葉・74期）、森田　達也（福　島・88期）、小埜　正義（千　葉・88期）、花田　将司（千　葉・99期）、大関　祐也（千　葉・107期）,-,高橋　三郎（秋　田・30期）,田口　守（山　口・94期）,-,２・３・７,焼肉、ウニ、銀ダラ,抹茶
内藤　久文,15445,117期,中部,豊橋,愛知県,逃,1992/2/29,-,小森　貴大（福　井・111期）、林　敬宏（愛　知・117期）,金子　貴志（愛　知・75期）、山田二三補（愛　知・64期）、泉谷　元樹（愛　知・101期）,-,金子　貴志（愛　知・75期）,-,400m,１・２・３,ラーメン、焼肉、お寿司,特になし
内藤　秀久,14018,89期,南関東,川崎,神奈川県,追,1982/2/4,-,-,-,-,伊藤　繁（神奈川・21期）,金田　涼馬（神奈川・119期）,400m,2,焼き立てのパン,カニカマ
中井　俊亮,14945,103期,近畿,奈良,奈良県,両,1992/12/11,中井　義実（父53期・引退）中井　太祐（兄97期）,-,杉田　清典（奈　良・71期）、中井　太祐（奈　良・97期）,-,杉田　清典（奈　良・71期）,-,333m,-,甘い物,緑黄色野菜
中井　達郎,12886,74期,南関東,伊東,静岡県,追,1974/9/4,-,遠藤　勝行（静　岡・73期）、川端　大輔（静　岡・76期）,梶原　亜湖（静　岡・73期）、遠藤　勝行（静　岡・73期）,-,畑中　幸造（静　岡・31期）,小川　達也（静　岡・93期）,-,2,魚介類・干し柿,なし
中井　太祐,14605,97期,近畿,奈良,奈良県,両,1989/10/6,中井 義実(父53期・引退)中井 俊亮(弟103期),-,中井　俊亮（奈　良・103期）,-,中井　義実（奈　良・53期）,-,-,1,-,-
中石　湊,15779,125期,北日本,函館,北海道,逃,2004/11/14,-,阿部　英斗（福　岡・125期）、山崎　歩夢（福　島・125期）、小堀　敢太（北海道・125期）,大森　慶一（北海道・88期）、大森　光明（北海道・117期）,-,大森　慶一（北海道・88期）,-,400m,1,焼肉,-
中釜　章成,15272,113期,近畿,岸和田,大阪府,逃,1997/2/22,-,眞杉　匠（栃　木・113期）、小玉　勇一（埼　玉・113期）、渡邉　直弥（静　岡・113期）、真崎　章徳（佐　賀・113期）、前川　大輔（福　島・113期）、井田　晶之（三　重・113期）,山村　慮太（大　阪・97期）,カリスマ酒井一家,山村　慮太（大　阪・97期）,-,400m,１・２・３,肉、すし、ケーキ,なし
中川　勝貴,15104,109期,近畿,福井,福井県,追,1995/8/10,中川 博文(父61期),-,-,-,中川　博文（福　井・61期）,-,-,1,焼肉,-
中川　誠一郎,13745,85期,九州,熊本,熊本県,両,1979/6/7,瀬口 慶一郎(従兄77期)中川 諒子(妹102期)瀬口 孝一郎(叔父23期・引退),田川　辰二（熊　本・72期）、對馬　太陽（神奈川・85期）,高木　竜司（熊　本・82期）、山田　和巧（神奈川・87期）、高田　隼人（熊　本・81期）、吉田　悟（熊　本・119期）,-,瀬口慶一郎（熊　本・77期）,吉田　悟（熊　本・119期）,-,１・２・３・７,寿司,トマト
中川　貴徳,14141,91期,関東,宇都宮,栃木県,追,1984/3/30,中川 幸一(父44期・引退),矢野　昌彦（栃　木・91期）、高塩　讓次（栃　木・90期）、小田倉勇二（埼　玉・91期）、塚本　和宏（栃　木・90期）,矢野　昌彦（栃　木・91期）、高塩　讓次（栃　木・90期）、塚本　和宏（栃　木・90期）、飯嶋　則之（栃　木・81期）、真崎新太郎（栃　木・85期）、阿久津　修（栃　木・88期）、安達　隆己（栃　木・117期）,-,中川　幸一（栃　木・44期）,安達　隆己（栃　木・117期）,-,1,あげパン,-
中島　詩音,15521,119期,関東,-,山梨県,逃,1998/1/20,-,堀江　省吾（長　野・119期）、谷口　力也（熊　本・119期）、志田　龍星（岐　阜・119期）、田川　翔琉（熊　本・119期）、渡口　勝成（山　口・119期）、桑名　僚也（埼　玉・119期）、近藤　翔馬（愛　媛・119期）、小原丈一郎（青　森・115期）、貝原　涼太（栃　木・125期）,城　幸弘（山　梨・96期）,山梨選手会,城　幸弘（山　梨・96期）,-,400m,2,いちご,なし
中嶋　宣成,15256,113期,関東,-,長野県,逃,1990/4/19,-,眞杉　匠（栃　木・113期）、小玉　勇一（埼　玉・113期）、真崎　章徳（佐　賀・113期）、福田　真平（愛　知・113期）、元砂　海人（奈　良・113期）,上原　龍（長　野・95期）,-,上原　龍（長　野・95期）,-,333m,2,ラーメン,-
